digital,TV,radio,newspaper,sales
345.15,156,37.8,69.2,22.1
66.75,46,39.3,45.1,10.4
25.8,18.3,45.9,69.3,9.3
227.25,145.1,41.3,58.5,18.5
271.2,165.2,10.8,58.4,12.9
13.05,8.7,48.9,75,7.2
86.25,57.5,32.8,23.5,11.8
180.3,120.2,19.6,11.6,13.2
12.9,8.6,2.1,1,4.8
299.7,199.8,2.6,21.2,10.6
99.15,66.1,5.8,24.2,8.6
322.05,214.7,24,4,17.4
35.7,23.8,35.1,65.9,9.2
146.25,97.5,7.6,7.2,9.7
306.15,204.1,32.9,46,19
293.1,195.4,47.7,52.9,22.4
101.7,67.8,36.6,114,12.5
422.1,281.4,39.6,55.8,24.4
103.8,69.2,20.5,18.3,11.3
220.95,147.3,23.9,19.1,14.6
327.6,218.4,27.7,53.4,18
356.1,237.4,5.1,23.5,12.5
19.8,13.2,15.9,49.6,5.6
342.45,228.3,16.9,26.2,15.5
93.45,62.3,12.6,18.3,9.7
394.35,262.9,3.5,19.5,12
214.35,142.9,29.3,12.6,15
360.15,240.1,16.7,22.9,15.9
373.2,248.8,27.1,22.9,18.9
105.9,70.6,16,40.8,10.5
439.35,292.9,28.3,43.2,21.4
169.35,112.9,17.4,38.6,11.9
145.8,97.2,1.5,30,9.6
398.4,265.6,20,0.3,17.4
143.55,95.7,1.4,7.4,9.5
436.05,290.7,4.1,8.5,12.8
400.35,266.9,43.8,5,25.4
112.05,74.7,49.4,45.7,14.7
64.65,43.1,26.7,35.1,10.1
342,228,37.7,32,21.5
303.75,202.5,22.3,31.6,16.6
265.5,177,33.4,38.7,17.1
440.4,293.6,27.7,1.8,20.7
310.35,206.9,8.4,26.4,12.9
37.65,25.1,25.7,43.3,8.5
262.65,175.1,22.5,31.5,14.9
134.55,89.7,9.9,35.7,10.6
359.85,239.9,41.5,18.5,23.2
340.8,227.2,15.8,49.9,14.8
100.35,66.9,11.7,36.8,9.7
299.7,199.8,3.1,34.6,11.4
150.6,100.4,9.6,3.6,10.7
324.6,216.4,41.7,39.6,22.6
273.9,182.6,46.2,58.7,21.2
394.05,262.7,28.8,15.9,20.2
298.35,198.9,49.4,60,23.7
10.95,7.3,28.1,41.4,5.5
